word1,word2,gold,similarity
admission,ticket,5.536,0.028283459914930094
alcohol,chemistry,4.125,0.22929192942182594
aluminum,metal,6.625,0.47214797983348755
announcement,effort,2.0625,0.12685988066744028
announcement,news,7.1875,0.27700214860411526
announcement,production,1.6875,0.03913288369914945
announcement,warning,4.625,0.12738656138697993
architecture,century,1.929,0.41825573147624123
arrangement,accommodation,5.125,0.09024407740828977
arrival,hotel,2.1875,0.17411918917089014
atmosphere,landscape,3.5625,0.14427773248846562
attempt,peace,0.9375,0.16402946852801312
baby,mother,5.25,0.3917610410990485
bank,money,6.625,0.22831101968948161
baseball,season,3.2565,0.29422146132298077
bed,closet,2.25,0.4603593268992549
bird,crane,4.8125,0.12486839637209769
bishop,rabbi,5.375,0.22305202529307472
board,recommendation,1.25,0.4447685599055059
book,library,5.3125,0.3721509924291643
book,paper,5.875,0.19474563430714537
boy,lad,7.844,0.20678965883501488
bread,butter,4.1875,0.47584509270088826
brother,monk,4.25,0.2060473455742457
calculation,computation,8.0565,0.322374751357219
canyon,landscape,5.25,0.057370991896702576
car,automobile,9.369,0.2633401402881686
car,flight,2.4375,0.05689507496110936
cell,phone,6.25,-0.009976708731761158
century,nation,2.1875,0.20999196432538342
century,year,4.0,0.24290042935243067
championship,tournament,7.5,0.39941754863966034
change,attitude,3.375,0.20709739870966054
chord,smile,0.8125,-0.11906151425569547
closet,clothes,4.625,0.47975998443107043
coast,forest,2.125,0.2254939598037139
coast,hill,2.3125,0.24840473916472558
coast,shore,8.2755,0.3484947325409522
company,stock,3.75,0.2881557164772659
competition,price,3.0,0.3684851751135794
computer,laboratory,3.375,0.16813229158750295
computer,news,1.6875,0.1013581054412786
consumer,confidence,1.6875,-0.01286716267654748
consumer,energy,2.75,0.15258533556318216
country,citizen,4.3125,0.23612738873899666
crane,implement,2.125,-0.1799459867379509
credit,card,4.5625,0.05305078123389697
credit,information,3.644,0.35345349457463626
cup,article,1.3125,-0.07703005928610053
cup,coffee,5.0625,0.6665150892826064
cup,drink,4.75,0.4467741167736513
cup,entity,1.375,0.10786862410727482
cup,food,1.875,0.1192270161238448
cup,liquid,3.75,0.20868949741284862
cup,object,4.25,0.15621309275622558
cup,substance,1.9375,0.20711565545377328
currency,market,4.3125,0.15520845956655963
day,dawn,4.625,0.3297048564641328
day,summer,3.125,0.4024917935785104
death,inmate,1.944,-0.03284994151193787
death,row,1.6875,-0.013291441932329989
delay,news,1.4375,0.03438638532247836
development,issue,3.3125,0.13434533382693695
direction,combination,2.0625,0.026266914744616024
disability,death,2.3125,0.15958566828836115
disaster,area,1.625,0.11208787692839879
discovery,space,3.9375,0.034603382390773055
dividend,calculation,5.1875,0.10854535439347808
dividend,payment,5.5,0.474225620594951
doctor,liability,2.5,0.06691642674310416
doctor,nurse,6.125,0.33661622002796415
doctor,personnel,3.5625,0.18839046831988313
dollar,buck,8.5625,0.25363782345823455
dollar,loss,2.1875,0.15604293876686345
dollar,profit,5.375,0.18580725874031978
drink,car,0.3125,0.20489662857109442
drink,ear,0.375,0.13060461548247404
drink,eat,4.125,0.2715051391955725
drink,mother,0.5625,0.2392893036017955
drink,mouth,4.7375,0.2550591835869123
drug,abuse,4.9375,-0.004599555392356321
energy,crisis,3.0505,-0.007731027981560369
energy,laboratory,2.7565,0.15137448016478366
energy,secretary,1.0625,0.05135490505898652
equipment,maker,2.5625,0.39510387802453617
experience,music,2.3125,0.08599300135799033
family,planning,1.75,0.10603756938182969
fbi,fingerprint,4.0625,0.18273450069528563
fbi,investigation,5.0625,0.26973360699299165
