word1,word2,gold,similarity
admission,ticket,5.536,0.2992555354555798
alcohol,chemistry,4.125,0.39965560003900386
aluminum,metal,6.625,0.7746360146223521
announcement,effort,2.0625,0.21406046129693157
announcement,news,7.1875,0.4963318700634166
announcement,production,1.6875,0.351182274036017
announcement,warning,4.625,0.022565782572423615
architecture,century,1.929,0.37527052971136854
arrangement,accommodation,5.125,0.34245918011891374
arrival,hotel,2.1875,0.272803414985612
atmosphere,landscape,3.5625,0.5029416060737075
attempt,peace,0.9375,0.3842386537365467
baby,mother,5.25,0.5777024243242944
bank,money,6.625,0.22371322910053718
baseball,season,3.2565,0.5232979615390658
bed,closet,2.25,0.8169431498368739
bird,crane,4.8125,0.5645702456278285
bishop,rabbi,5.375,0.41928641538626393
board,recommendation,1.25,0.5695686202148729
book,library,5.3125,0.23739992743007585
book,paper,5.875,0.275658375482385
boy,lad,7.844,0.4589775206097389
bread,butter,4.1875,0.881981015980679
brother,monk,4.25,0.45106826989727655
calculation,computation,8.0565,0.5709898119737248
canyon,landscape,5.25,-0.04968692638076275
car,automobile,9.369,0.4646538717678546
car,flight,2.4375,0.2257798524675564
cell,phone,6.25,-0.17991932081656842
century,nation,2.1875,0.2243802303789086
century,year,4.0,0.4278723279522139
championship,tournament,7.5,0.8136938928364046
change,attitude,3.375,0.3206108061982211
chord,smile,0.8125,0.17047672544539677
closet,clothes,4.625,0.8427756372547801
coast,forest,2.125,0.5196286879116383
coast,hill,2.3125,0.7207369188447659
coast,shore,8.2755,0.6403752538572992
company,stock,3.75,0.47022835108304034
competition,price,3.0,0.5040115034656306
computer,laboratory,3.375,0.2855879542763879
computer,news,1.6875,-0.00790637676757236
consumer,confidence,1.6875,0.2559618417248392
consumer,energy,2.75,0.44675362889767806
country,citizen,4.3125,0.6023627480489936
crane,implement,2.125,-0.10582902002794767
credit,card,4.5625,-0.031752318197509885
credit,information,3.644,0.3877285570269947
cup,article,1.3125,0.03288824250998629
cup,coffee,5.0625,0.896747602751114
cup,drink,4.75,0.692074346308988
cup,entity,1.375,0.05087901126582756
cup,food,1.875,0.27131473101664316
cup,liquid,3.75,0.47091072062861067
cup,object,4.25,0.15876043290355796
cup,substance,1.9375,0.4078478960631786
currency,market,4.3125,0.4751624249244531
day,dawn,4.625,0.5567866552061431
day,summer,3.125,0.682157897458478
death,inmate,1.944,0.20507016740756984
death,row,1.6875,0.04063872598115345
delay,news,1.4375,-0.05677436376182165
development,issue,3.3125,0.38239136085849434
direction,combination,2.0625,0.3618265491511592
disability,death,2.3125,0.2750484255888819
disaster,area,1.625,-0.08289236271072897
discovery,space,3.9375,0.15470804214747808
dividend,calculation,5.1875,0.49731151073191837
dividend,payment,5.5,0.6546012917278956
doctor,liability,2.5,-0.130740348821865
doctor,nurse,6.125,0.491522547722557
doctor,personnel,3.5625,0.28220114089691456
dollar,buck,8.5625,0.2942162027299033
dollar,loss,2.1875,0.2519808775041336
dollar,profit,5.375,0.4513430545600902
drink,car,0.3125,0.3128110336043464
drink,ear,0.375,0.7751667056454603
drink,eat,4.125,0.645135732101148
drink,mother,0.5625,0.36751127058288896
drink,mouth,4.7375,0.6823975599867018
drug,abuse,4.9375,0.14657729577591527
energy,crisis,3.0505,0.17132584296279119
energy,laboratory,2.7565,0.37896732749403533
energy,secretary,1.0625,-0.0815587695580849
equipment,maker,2.5625,0.27451113811676886
experience,music,2.3125,0.3760954377724356
family,planning,1.75,0.017255211551374227
fbi,fingerprint,4.0625,0.3963711099757239
fbi,investigation,5.0625,0.31563743015631507
fertility,egg,5.1875,0.07674340031913024
five,month,1.069,0.6697513694931932
focus,life,2.3125,0.37890302674531934
food,fruit,7.0625,0.16254534532134557
food,preparation,3.75,0.36680491454912856
football,basketball,4.125,0.7406752280972759
football,tennis,3.6875,0.7204857548996147
forest,graveyard,1.394,0.2524523570918612
furnace,stove,8.0625,0.6270716313825708
game,defeat,3.6875,0.4885616482218195
game,round,5.1875,0.37654975175304073
game,series,4.5625,0.33978429975061486
game,team,4.625,0.7459807418760607
game,victory,4.6875,0.310517213735002
glass,metal,2.1875,0.6798534662173088
government,crisis,3.625,0.13493983885784883
governor,interview,1.625,0.13816774480823094
governor,office,4.3125,0.598608887328045
grocery,money,3.375,0.2952144899701607
harvard,yale,4.875,0.8357545069723645
holy,sex,1.069,0.34995219003721856
hotel,reservation,5.0625,0.3838581917417075
hundred,percent,4.4375,0.47826455604653134
image,surface,1.8125,0.46201064151514815
investigation,effort,3.75,0.3713412314589304
investor,earning,5.0625,0.5472633792412442
japanese,american,3.125,0.3444058200598662
jerusalem,israel,6.4375,0.4848492605904013
journal,association,2.625,0.424209011597834
journey,car,4.0625,0.3670778687271592
journey,voyage,7.5,0.3312045504190951
king,queen,5.6875,0.6896277235508474
lad,brother,4.9375,0.20123504622434207
law,lawyer,6.1875,0.43413371083144514
lawyer,evidence,3.9375,0.02660722239515933
liability,insurance,4.375,0.26055502664702934
life,death,4.375,0.29261575520302735
life,lesson,3.1875,0.3424697651421892
life,term,3.8125,0.11727629623016905
line,insurance,1.3125,-0.06606458043788789
liquid,water,7.0625,0.5903188742032428
listing,category,5.375,0.4143575930652689
love,sex,6.375,0.479560036398915
lover,quarrel,1.6875,0.40421190444873606
luxury,car,3.3125,0.18076664681023208
man,governor,4.25,0.19291966119751736
man,woman,4.5,0.5703854877612006
mexico,brazil,3.9375,0.420693283967288
mile,kilometer,6.9375,0.6553263205188068
minister,party,3.0625,0.6037353882035011
ministry,culture,2.844,0.20527191287106805
minority,peace,1.1875,0.25963827512175436
money,bank,6.0,0.22371322910053718
money,cash,8.875,0.5548009695171816
money,cash,9.0315,0.5548009695171816
money,currency,7.9375,0.24127715696295143
money,deposit,5.375,0.22609528093352602
money,dollar,7.6875,0.5013610205580064
money,laundering,4.4565,-0.16543033431907153
money,operation,1.875,0.29430546358877663
money,possession,4.3125,-0.1279119317860681
money,property,5.0625,0.4553432589924302
money,wealth,7.0625,0.14916888080804022
money,withdrawal,4.0625,0.1877898018846148
monk,slave,2.5625,0.2273037980956525
month,hotel,1.0625,0.31787907557666856
morality,importance,2.5,0.5387973134378142
morality,marriage,2.375,0.09018816672162078
movie,critic,3.1875,0.26074924402577043
movie,star,4.3125,0.07708746957511059
movie,theater,6.125,0.41345962923004687
museum,theater,3.875,0.6385250353344648
music,project,3.1875,0.03427423988507461
nature,environment,6.9375,0.5699681248114798
nature,man,2.9375,0.32245166720330315
network,hardware,3.8125,0.4639451225517311
news,report,6.8125,0.41431354952066496
noon,string,0.6875,0.34269028662084544
observation,architecture,1.875,0.16100641092862197
oil,stock,2.9375,0.5055059151057806
opera,industry,1.194,0.13153386449226367
opera,performance,4.875,0.2754138762065082
peace,atmosphere,2.1875,0.14522147630628673
peace,insurance,1.7565,0.2620140690079703
peace,plan,1.5,0.3161554132716237
phone,equipment,4.0315,-0.06831558935304059
plane,car,3.5625,0.25661472273718494
planet,galaxy,6.125,0.3076812376215364
planet,moon,6.0,0.7120117661465124
planet,people,3.375,0.1626285640184255
planet,space,5.3125,0.3291365061320466
planet,star,5.625,0.412594338258682
planet,sun,5.8125,0.48100296965815703
population,development,3.4755,0.3395437651664931
possibility,girl,1.069,-0.12318541536610776
practice,institution,3.5625,0.5346597693848729
precedent,collection,1.0625,-0.035460848530124094
precedent,example,5.4375,0.03829270007270524
precedent,group,1.5625,0.18910582751088484
precedent,information,2.375,0.3530779894428162
precedent,law,4.375,0.6599733758926798
prejudice,recognition,3.3125,0.5523898960608772
preservation,world,2.4375,-0.21056558811258475
president,medal,1.25,0.2999544059206484
problem,airport,1.3125,0.14732098235031083
problem,challenge,6.875,0.4068876086607416
production,crew,3.1875,0.16810633921532905
production,hike,0.9375,0.12362130798597563
professor,doctor,6.125,0.33516301315571073
profit,loss,3.875,0.6841801168235447
profit,warning,1.6875,-0.0025788971394316348
psychology,anxiety,3.75,0.5299518969664054
psychology,depression,5.25,0.21868374557395498
psychology,discipline,3.3125,0.7141781935568325
psychology,doctor,5.294,0.11705521225893549
psychology,fear,3.1875,0.38378823859983124
psychology,freud,5.6875,0.6831167426978354
psychology,health,4.3625,0.19484086405547102
psychology,mind,5.4375,0.4960887285267648
psychology,science,5.9505,0.681743467655245
reason,criterion,4.625,0.42669050371195183
record,number,3.5,0.3862879641687346
registration,arrangement,3.4375,0.1299463219693889
report,gain,2.25,0.10826620836599332
rock,jazz,5.5,0.20880997301674933
school,center,3.875,0.32649390699181596
secretary,senate,3.75,0.690373969951778
seven,series,2.25,0.3353889106778793
shower,flood,3.5625,0.0061905460368435914
situation,conclusion,3.5625,0.5208915210405588
situation,isolation,1.9375,0.43651677480475054
skin,eye,2.75,0.6968653880113544
smart,student,3.625,0.256908212040599
smart,stupid,3.25,0.5856106910666212
soap,opera,3.5625,0.13928595561109217
space,chemistry,1.8875,0.306591244466306
space,world,4.9375,0.0780479515764989
start,match,2.5,0.3668446675175042
start,year,1.625,0.36070009798858305
stock,cd,2.4375,0.4544951405792134
stock,egg,1.4375,0.1837283631093514
stock,life,1.8125,-0.10006271243961641
stock,live,1.875,-0.20019784042889838
stock,market,4.875,0.7320694391801419
stock,phone,0.75,-0.08746316650320003
street,avenue,7.6875,0.663305824409469
street,block,6.5625,0.6769951697476387
street,place,4.5,0.30311603766128065
stroke,hospital,3.625,0.2993781184548325
student,professor,4.9375,0.6616556083428002
sugar,approach,0.9375,0.08832035780789048
summer,drought,3.3125,0.2151591313925757
summer,nature,4.0,-0.327735959737387
